Nombre,Tipo,NivelBase,CategoriaGO,EtiquetasGO,esBebe,Region,Ataque Base,Defensa Base,Stamina Base,ScorePvE,ScorePvP_GL,ScorePvP_UL,UsoPrincipal,Contadores,EsRaid,EvolucionaA,EvolucionRecomendada,UsoEvolucionRecomendada,ScoreEvolucionRecomendada,CosteCaramelosEvolucionRecomendada,ObjetosEvolucionRecomendada,fechaActualizacion
Xatu,psiquico/volador,normal,normal,,no,,192,146,163,59,50,55,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Mareep,electrico,normal,normal,sombra,no,,114,79,146,39,42,41,coleccionable,volador/agua,no,Flaaffy,Ampharos,coleccionable,191,125,,2026-03-30
Flaaffy,electrico,normal,normal,sombra,no,,145,109,172,49,47,48,coleccionable,volador/agua,no,Ampharos,Ampharos,coleccionable,191,100,,2026-03-30
Ampharos,electrico,normal,normal,"mega,sombra",no,,211,169,207,69,61,61,coleccionable,volador/agua,no,,,,,,,2026-03-30
Bellossom,planta,normal,normal,sombra,no,,169,186,181,60,56,55,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Marill,agua/hada,normal,normal,,no,,37,93,172,30,46,33,coleccionable,siniestro/dragon/lucha,no,Azumarill,Azumarill,coleccionable,158,25,,2026-03-30
Azumarill,agua/hada,normal,normal,,no,,112,152,225,53,57,48,coleccionable,siniestro/dragon/lucha,no,,,,,,,2026-03-30
Sudowoodo,roca,normal,normal,sombra,no,,167,176,172,58,54,54,coleccionable,bicho/fuego/volador,no,,,,,,,2026-03-30
Politoed,agua,normal,normal,sombra,no,,174,179,207,63,60,57,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Hoppip,planta/volador,normal,normal,sombra,no,,67,94,111,29,40,34,coleccionable,bicho/lucha/planta,no,Skiploom,Jumpluff,coleccionable,156,125,,2026-03-30
Skiploom,planta/volador,normal,normal,sombra,no,,91,120,146,39,46,40,coleccionable,bicho/lucha/planta,no,Jumpluff,Jumpluff,coleccionable,156,100,,2026-03-30
Jumpluff,planta/volador,normal,normal,sombra,no,,118,183,181,52,56,48,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Aipom,normal,normal,normal,sombra,no,,136,112,146,45,45,45,coleccionable,,no,Ambipom,Ambipom,coleccionable,173,100,Sinnoh Stone,2026-03-30
Sunkern,planta,normal,normal,,no,,55,55,102,23,35,30,coleccionable,tierra/roca/agua,no,Sunflora,Sunflora,coleccionable,165,50,Sun Stone,2026-03-30
Sunflora,planta,normal,normal,,no,,185,135,181,59,51,55,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Yanma,bicho/volador,normal,normal,,no,,154,94,163,49,45,48,coleccionable,bicho/siniestro/lucha,no,Yanmega,Yanmega,coleccionable,192,100,Sinnoh Stone,2026-03-30
Wooper,agua/tierra,normal,normal,sombra,no,,75,66,146,32,41,35,coleccionable,electrico/fuego/tierra,no,Quagsire/Clodsire,Clodsire,coleccionable,175,50,,2026-03-30
Quagsire,agua/tierra,normal,normal,sombra,no,,152,143,216,58,55,52,coleccionable,electrico/fuego/tierra,no,,,,,,,2026-03-30
Espeon,psiquico,normal,normal,,no,,261,175,163,73,58,66,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Umbreon,siniestro,normal,normal,,no,,126,240,216,61,67,54,coleccionable,fantasma/psiquico,sí,,,,,,,2026-03-30
Murkrow,siniestro/volador,normal,normal,sombra,no,,175,87,155,51,44,50,coleccionable,bicho/lucha/fantasma,no,Honchkrow,Honchkrow,coleccionable,186,100,Sinnoh Stone,2026-03-30
Slowking,agua/psiquico,normal,normal,sombra,no,,177,180,216,65,62,58,coleccionable,lucha/fuego/tierra,no,,,,,,,2026-03-30
Misdreavus,fantasma,normal,normal,sombra,no,,167,154,155,55,50,52,coleccionable,fantasma/psiquico,no,Mismagius,Mismagius,coleccionable,178,100,Sinnoh Stone,2026-03-30
Unown,psiquico,normal,normal,,no,,136,91,134,42,42,44,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Wobbuffet,psiquico,normal,normal,sombra,no,,60,106,382,48,68,47,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Girafarig,normal/psiquico,normal,normal,sombra,no,,182,133,172,57,50,54,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Pineco,bicho,normal,normal,sombra,no,,108,122,137,41,45,42,coleccionable,siniestro/planta/psiquico,no,Forretress,Forretress,coleccionable,173,50,,2026-03-30
Forretress,bicho/acero,normal,normal,sombra,no,,161,205,181,60,58,55,coleccionable,siniestro/hada/planta,no,,,,,,,2026-03-30
Dunsparce,normal,normal,normal,,no,,131,128,225,54,54,49,coleccionable,,no,Dudunsparce,Dudunsparce,coleccionable,195,50,,2026-03-30
Gligar,tierra/volador,normal,normal,sombra,no,,143,184,163,54,54,50,coleccionable,bicho/electrico/lucha,no,Gliscor,Gliscor,coleccionable,189,100,Sinnoh Stone,2026-03-30
Steelix,acero/tierra,normal,normal,mega,no,,148,272,181,62,69,57,coleccionable,electrico/hada/fuego,no,,,,,,,2026-03-30
Snubbull,hada,normal,normal,sombra,no,,137,85,155,44,44,45,coleccionable,siniestro/dragon/lucha,no,Granbull,Granbull,coleccionable,178,50,,2026-03-30
Granbull,hada,normal,normal,sombra,no,,212,131,207,66,53,59,coleccionable,siniestro/dragon/lucha,no,,,,,,,2026-03-30
Qwilfish,agua/veneno,normal,normal,,no,,184,138,163,57,50,54,coleccionable,hada/fuego/planta,no,Overqwil,Overqwil,coleccionable,193,50,,2026-03-30
Scizor,bicho/acero,normal,normal,"mega,sombra",no,,236,181,172,70,59,63,coleccionable,siniestro/hada/planta,no,,,,,,,2026-03-30
Shuckle,bicho/roca,normal,normal,sombra,no,,17,396,85,30,68,41,coleccionable,bicho/siniestro/fuego,no,,,,,,,2026-03-30
Heracross,bicho/lucha,normal,normal,"mega,regional",no,Sudamérica / Sur de EEUU,234,179,190,72,63,64,coleccionable,siniestro/planta/hielo,no,,,,,,,2026-03-30
Sneasel,siniestro/hielo,normal,normal,sombra,no,,189,146,146,57,48,54,raid,dragon/volador/fantasma,sí,Weavile/Sneasler,Sneasler,coleccionable,199,100,,2026-03-30
Teddiursa,normal,normal,normal,sombra,no,,142,93,155,46,44,46,coleccionable,,no,Ursaring,Ursaluna,pve,238,150,,2026-03-30
Ursaring,normal,normal,normal,sombra,no,,236,144,207,71,58,63,coleccionable,,no,Ursaluna,Ursaluna,pve,238,100,,2026-03-30
Slugma,fuego,normal,normal,,no,,118,71,120,37,38,39,coleccionable,bicho/planta/hielo,no,Magcargo,Magcargo,coleccionable,152,50,,2026-03-30
Magcargo,fuego/roca,normal,normal,,no,,139,191,137,51,52,49,coleccionable,bicho/fuego/volador,no,,,,,,,2026-03-30
Swinub,hielo/tierra,normal,normal,sombra,no,,90,69,137,33,40,37,coleccionable,dragon/electrico/fuego,no,Piloswine,Mamoswine,pve,210,125,Sinnoh Stone,2026-03-30
Piloswine,hielo/tierra,normal,normal,sombra,no,,181,138,225,63,56,57,coleccionable,dragon/electrico/fuego,no,Mamoswine,Mamoswine,pve,210,100,Sinnoh Stone,2026-03-30
Corsola,agua/roca,normal,normal,regional,no,Regiones tropicales,118,156,146,46,50,45,coleccionable,bicho/fuego/volador,no,Cursola,Cursola,coleccionable,193,50,,2026-03-30
Remoraid,agua,normal,normal,,no,,127,69,111,37,38,40,coleccionable,fuego/tierra/roca,no,Octillery,Octillery,coleccionable,168,50,,2026-03-30
Octillery,agua,normal,normal,,no,,197,141,181,61,51,56,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Delibird,hielo/volador,normal,normal,sombra,no,,128,90,128,40,41,42,coleccionable,bicho/dragon/lucha,no,,,,,,,2026-03-30
Mantine,agua/volador,normal,normal,,no,,148,226,163,58,58,53,coleccionable,bicho/lucha/fuego,no,,,,,,,2026-03-30
Skarmory,acero/volador,normal,normal,sombra,no,,148,226,163,58,58,53,coleccionable,bicho/hada/lucha,no,,,,,,,2026-03-30
Houndour,siniestro/fuego,normal,normal,sombra,no,,152,83,128,44,41,45,coleccionable,bicho/fantasma/planta,no,Houndoom,Houndoom,coleccionable,178,50,,2026-03-30
Houndoom,siniestro/fuego,normal,normal,"mega,sombra",no,,224,144,181,66,52,60,coleccionable,bicho/fantasma/planta,no,,,,,,,2026-03-30
Kingdra,agua/dragon,normal,normal,sombra,no,,194,194,181,65,60,59,coleccionable,dragon/fuego/tierra,no,,,,,,,2026-03-30
Phanpy,tierra,normal,normal,,no,,107,98,207,46,50,44,coleccionable,electrico/fuego/veneno,no,Donphan,Donphan,coleccionable,198,50,,2026-03-30
Donphan,tierra,normal,normal,,no,,214,185,207,71,65,62,coleccionable,electrico/fuego/veneno,no,,,,,,,2026-03-30
Porygon2,normal,normal,normal,sombra,no,,198,180,198,67,61,60,coleccionable,,no,Porygon-Z,Porygon-Z,pve,202,100,Sinnoh Stone,2026-03-30
Stantler,normal,normal,normal,sombra,no,,192,131,177,60,50,55,coleccionable,,no,,,,,,,2026-03-30
Smeargle,normal,normal,normal,,no,,40,83,146,27,42,31,coleccionable,,no,,,,,,,2026-03-30
Tyrogue,lucha,normal,bebe,bebe,sí,,64,64,111,26,37,32,coleccionable,siniestro/hielo/normal,no,Hitmonlee/Hitmonchan/Hitmontop,Hitmonlee,coleccionable,175,25,,2026-03-30
Hitmontop,lucha,normal,normal,,no,,173,207,137,58,54,54,coleccionable,siniestro/hielo/normal,no,,,,,,,2026-03-30
Smoochum,hielo/psiquico,normal,bebe,bebe,sí,,153,91,128,45,41,46,coleccionable,dragon/lucha/volador,no,Jynx,Jynx,coleccionable,176,25,,2026-03-30
Elekid,electrico,normal,bebe,bebe,sí,,135,101,128,43,42,44,coleccionable,volador/agua,no,Electabuzz,Electivire,coleccionable,195,125,Sinnoh Stone,2026-03-30
Magby,fuego,normal,bebe,bebe,sí,,151,99,128,45,42,46,coleccionable,bicho/planta/hielo,no,Magmar,Magmortar,coleccionable,197,125,Sinnoh Stone,2026-03-30
Miltank,normal,normal,normal,,no,,157,193,216,63,62,56,coleccionable,,no,,,,,,,2026-03-30
Blissey,normal,normal,normal,,no,,129,169,496,64,96,63,pvp_gl,,no,,,,,,,2026-03-30
Raikou,electrico,legendario,legendario,sombra,no,,241,195,207,76,71,67,pve,volador/agua,no,,,,,,,2026-03-30
Entei,fuego,legendario,legendario,sombra,no,,235,171,251,77,74,67,pve,bicho/planta/hielo,no,,,,,,,2026-03-30
Suicune,agua,legendario,legendario,sombra,no,,180,235,225,71,76,61,pvp_gl,fuego/tierra/roca,no,,,,,,,2026-03-30
Larvitar,roca/tierra,normal,normal,sombra,no,,115,93,137,39,42,41,coleccionable,bicho/electrico/fuego,no,Pupitar,Tyranitar,pve,231,125,,2026-03-30
Pupitar,roca/tierra,normal,normal,sombra,no,,155,133,172,53,50,50,coleccionable,bicho/electrico/fuego,no,Tyranitar,Tyranitar,pve,231,100,,2026-03-30
Tyranitar,roca/siniestro,normal,normal,"mega,sombra",no,,251,207,225,80,80,71,pve,bicho/fuego/volador,no,,,,,,,2026-03-30
Lugia,psiquico/volador,legendario,legendario,sombra,no,,193,310,235,75,94,72,pve,bicho/lucha/planta,no,,,,,,,2026-03-30
Ho-Oh,fuego/volador,legendario,legendario,sombra,no,,239,244,214,80,85,72,pve,bicho/lucha/planta,no,,,,,,,2026-03-30
Celebi,psiquico/planta,singular,singular,,no,,210,210,225,74,75,64,pvp_gl,lucha/tierra/veneno,no,,,,,,,2026-03-30
Treecko,planta,normal,normal,,no,,124,94,120,39,41,41,coleccionable,tierra/roca/agua,no,Grovyle,Sceptile,coleccionable,183,125,,2026-03-30
Grovyle,planta,normal,normal,,no,,172,120,137,51,45,50,coleccionable,tierra/roca/agua,no,Sceptile,Sceptile,coleccionable,183,100,,2026-03-30
Sceptile,planta,normal,normal,mega,no,,223,169,172,67,55,61,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Torchic,fuego,normal,normal,,no,,130,87,128,40,41,42,coleccionable,bicho/planta/hielo,no,Combusken,Blaziken,coleccionable,187,125,,2026-03-30
Combusken,fuego/lucha,normal,normal,,no,,163,115,155,51,47,50,coleccionable,bicho/siniestro/planta,no,Blaziken,Blaziken,coleccionable,187,100,,2026-03-30
Blaziken,fuego/lucha,normal,normal,mega,no,,240,141,190,70,54,63,coleccionable,bicho/siniestro/planta,no,,,,,,,2026-03-30
Mudkip,agua,normal,normal,sombra,no,,126,93,137,41,42,43,coleccionable,fuego/tierra/roca,no,Marshtomp,Swampert,coleccionable,199,125,,2026-03-30
Marshtomp,agua/tierra,normal,normal,sombra,no,,156,133,172,53,50,50,coleccionable,electrico/fuego/tierra,no,Swampert,Swampert,coleccionable,199,100,,2026-03-30
Swampert,agua/tierra,normal,normal,"mega,sombra",no,,208,175,225,71,66,62,coleccionable,electrico/fuego/tierra,no,,,,,,,2026-03-30
Poochyena,siniestro,normal,normal,sombra,no,,96,61,111,31,36,36,coleccionable,fantasma/psiquico,no,Mightyena,Mightyena,coleccionable,157,50,,2026-03-30
Mightyena,siniestro,normal,normal,sombra,no,,171,132,172,55,50,52,coleccionable,fantasma/psiquico,no,,,,,,,2026-03-30
Zigzagoon,normal,normal,normal,,no,,58,80,116,27,39,32,coleccionable,,no,Linoone,Obstagoon,coleccionable,189,125,,2026-03-30
Linoone,normal,normal,normal,,no,,142,128,186,52,51,49,coleccionable,,no,Obstagoon,Obstagoon,coleccionable,189,100,,2026-03-30
Wurmple,bicho,normal,normal,,no,,75,59,128,29,38,34,coleccionable,siniestro/planta/psiquico,no,Silcoon/Cascoon,Beautifly,coleccionable,151,62,,2026-03-30
Silcoon,bicho,normal,normal,,no,,60,77,137,29,41,33,coleccionable,siniestro/planta/psiquico,no,Beautifly,Beautifly,coleccionable,151,50,,2026-03-30
Beautifly,bicho/volador,normal,normal,,no,,189,98,155,54,45,52,coleccionable,bicho/siniestro/lucha,no,,,,,,,2026-03-30
Cascoon,bicho,normal,normal,,no,,60,77,137,29,41,33,coleccionable,siniestro/planta/psiquico,no,Dustox,Dustox,coleccionable,138,50,,2026-03-30
Dustox,bicho/veneno,normal,normal,,no,,98,162,155,44,51,43,coleccionable,siniestro/hada/planta,no,,,,,,,2026-03-30
Lotad,agua/planta,normal,normal,,no,,71,77,120,29,39,33,coleccionable,fuego/tierra/roca,no,Lombre,Ludicolo,coleccionable,173,125,,2026-03-30
Lombre,agua/planta,normal,normal,,no,,112,119,155,43,47,43,coleccionable,fuego/tierra/roca,no,Ludicolo,Ludicolo,coleccionable,173,100,,2026-03-30
Ludicolo,agua/planta,normal,normal,,no,,173,176,190,61,56,56,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Seedot,planta,normal,normal,sombra,no,,71,77,120,29,39,33,coleccionable,tierra/roca/agua,no,Nuzleaf,Shiftry,coleccionable,172,125,,2026-03-30
Nuzleaf,planta/siniestro,normal,normal,sombra,no,,134,78,172,45,44,44,coleccionable,fantasma/tierra/psiquico,no,Shiftry,Shiftry,coleccionable,172,100,,2026-03-30
Shiftry,planta/siniestro,normal,normal,sombra,no,,200,121,207,63,52,57,coleccionable,fantasma/tierra/psiquico,no,,,,,,,2026-03-30
Taillow,normal/volador,normal,normal,,no,,106,61,120,34,38,38,coleccionable,bicho/lucha/planta,no,Swellow,Swellow,coleccionable,155,50,,2026-03-30
Swellow,normal/volador,normal,normal,,no,,185,124,155,55,47,53,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Wingull,agua/volador,normal,normal,,no,,106,61,120,34,38,38,coleccionable,bicho/lucha/fuego,no,Pelipper,Pelipper,coleccionable,164,50,,2026-03-30
Pelipper,agua/volador,normal,normal,,no,,175,174,155,58,52,54,coleccionable,bicho/lucha/fuego,no,,,,,,,2026-03-30
Ralts,psiquico/hada,normal,normal,sombra,no,,79,59,99,27,35,33,coleccionable,siniestro/dragon/lucha,no,Kirlia,Gardevoir,coleccionable,196,125,,2026-03-30
Kirlia,psiquico/hada,normal,normal,sombra,no,,117,90,116,38,40,40,coleccionable,siniestro/dragon/lucha,no,Gardevoir/Gallade,Gardevoir,coleccionable,196,100,,2026-03-30
Gardevoir,psiquico/hada,normal,normal,"mega,sombra",no,,237,195,169,71,61,64,coleccionable,siniestro/dragon/lucha,no,,,,,,,2026-03-30
Surskit,bicho/agua,normal,normal,,no,,93,87,120,34,40,37,coleccionable,siniestro/fuego/planta,no,Masquerain,Masquerain,coleccionable,168,50,,2026-03-30
Masquerain,bicho/volador,normal,normal,,no,,192,150,172,61,51,56,coleccionable,bicho/siniestro/lucha,no,,,,,,,2026-03-30
Shroomish,planta,normal,normal,,no,,74,110,155,36,46,37,coleccionable,tierra/roca/agua,no,Breloom,Breloom,coleccionable,176,50,,2026-03-30
Breloom,planta/lucha,normal,normal,,no,,241,144,155,66,49,61,coleccionable,siniestro/tierra/hielo,no,,,,,,,2026-03-30
Slakoth,normal,normal,normal,,no,,104,92,155,39,44,40,coleccionable,,no,Vigoroth,Slaking,pve,254,125,,2026-03-30
Vigoroth,normal,normal,normal,,no,,159,145,190,56,53,52,coleccionable,,no,Slaking,Slaking,pve,254,100,,2026-03-30
Slaking,normal,normal,normal,,no,,290,166,284,89,85,80,pve,,no,,,,,,,2026-03-30
Nincada,bicho/tierra,normal,normal,,no,,80,126,104,33,42,36,coleccionable,siniestro/electrico/fuego,no,Ninjask,Ninjask,coleccionable,157,50,,2026-03-30
Ninjask,bicho/volador,normal,normal,,no,,199,112,156,57,46,54,coleccionable,bicho/siniestro/lucha,no,,,,,,,2026-03-30
Shedinja,bicho/fantasma,normal,normal,,no,,153,73,1,31,27,39,coleccionable,siniestro/fantasma/planta,no,,,,,,,2026-03-30
Whismur,normal,normal,normal,sombra,no,,92,42,162,34,40,37,coleccionable,,no,Loudred,Exploud,coleccionable,175,62,,2026-03-30
Loudred,normal,normal,normal,sombra,no,,134,81,197,47,47,46,coleccionable,,no,Exploud,Exploud,coleccionable,175,50,,2026-03-30
Exploud,normal,normal,normal,sombra,no,,179,137,232,63,56,56,coleccionable,,no,,,,,,,2026-03-30
Makuhita,lucha,normal,normal,sombra,no,,99,54,176,38,42,39,coleccionable,siniestro/hielo/normal,no,Hariyama,Hariyama,coleccionable,201,50,,2026-03-30
Hariyama,lucha,normal,normal,sombra,no,,209,114,302,73,65,63,coleccionable,siniestro/hielo/normal,no,,,,,,,2026-03-30
Azurill,normal/hada,normal,bebe,bebe,sí,,36,71,137,25,40,30,coleccionable,siniestro/dragon/lucha,no,Marill,Azumarill,coleccionable,158,50,,2026-03-30
Nosepass,roca,normal,normal,sombra,no,,82,215,102,40,51,41,coleccionable,bicho/fuego/volador,no,Probopass,Probopass,coleccionable,173,50,,2026-03-30
Skitty,normal,normal,normal,,no,,84,79,137,33,41,37,coleccionable,,no,Delcatty,Delcatty,coleccionable,145,50,,2026-03-30
Delcatty,normal,normal,normal,,no,,132,127,172,49,49,47,coleccionable,,no,,,,,,,2026-03-30
Sableye,siniestro/fantasma,normal,normal,"mega,sombra",no,,141,136,137,47,47,47,coleccionable,fantasma/psiquico,no,,,,,,,2026-03-30
Mawile,acero/hada,normal,normal,"mega,sombra",no,,155,141,137,50,47,49,coleccionable,siniestro/dragon/hada,no,,,,,,,2026-03-30
Aron,acero/roca,normal,normal,sombra,no,,121,141,137,44,47,44,coleccionable,bicho/hada/fuego,no,Lairon,Aggron,pvp_gl,203,125,,2026-03-30
Lairon,acero/roca,normal,normal,sombra,no,,158,198,155,57,54,53,coleccionable,bicho/hada/fuego,no,Aggron,Aggron,pvp_gl,203,100,,2026-03-30
Aggron,acero/roca,normal,normal,"mega,sombra",no,,198,257,172,70,71,62,pvp_gl,bicho/hada/fuego,no,,,,,,,2026-03-30
Meditite,lucha/psiquico,normal,normal,,no,,78,107,102,31,40,35,coleccionable,siniestro/lucha/hielo,no,Medicham,Medicham,coleccionable,143,50,,2026-03-30
Medicham,lucha/psiquico,normal,normal,mega,no,,121,152,155,47,50,46,coleccionable,siniestro/lucha/hielo,no,,,,,,,2026-03-30
Electrike,electrico,normal,normal,sombra,no,,123,78,120,38,39,41,coleccionable,volador/agua,no,Manectric,Manectric,coleccionable,169,50,,2026-03-30
Manectric,electrico,normal,normal,"mega,sombra",no,,215,127,172,62,49,58,coleccionable,volador/agua,no,,,,,,,2026-03-30
Plusle,electrico,normal,normal,,no,,167,129,155,53,48,51,coleccionable,volador/agua,no,,,,,,,2026-03-30
Minun,electrico,normal,normal,,no,,147,150,155,51,50,49,coleccionable,volador/agua,no,,,,,,,2026-03-30
Volbeat,bicho,normal,normal,regional,no,Europa / Asia / Pacífico,143,166,163,52,52,50,coleccionable,siniestro/planta/psiquico,no,,,,,,,2026-03-30
Illumise,bicho,normal,normal,regional,no,América / África,143,166,163,52,52,50,coleccionable,siniestro/planta/psiquico,no,,,,,,,2026-03-30
Roselia,planta/veneno,normal,normal,,no,,186,131,137,54,46,53,coleccionable,hada/planta/tierra,no,Roserade,Roserade,coleccionable,190,100,Sinnoh Stone,2026-03-30
Gulpin,veneno,normal,normal,,no,,80,99,172,37,47,38,coleccionable,hada/planta,no,Swalot,Swalot,coleccionable,168,50,,2026-03-30
Swalot,veneno,normal,normal,,no,,140,159,225,58,58,52,coleccionable,hada/planta,no,,,,,,,2026-03-30
Carvanha,agua/siniestro,normal,normal,sombra,no,,171,39,128,43,36,45,coleccionable,fuego/fantasma/tierra,no,Sharpedo,Sharpedo,coleccionable,169,50,,2026-03-30
Sharpedo,agua/siniestro,normal,normal,"mega,sombra",no,,243,83,172,64,45,60,coleccionable,fuego/fantasma/tierra,no,,,,,,,2026-03-30
Wailmer,agua,normal,normal,,no,,136,68,277,55,54,50,coleccionable,fuego/tierra/roca,no,Wailord,Wailord,coleccionable,187,400,,2026-03-30
Wailord,agua,normal,normal,,no,,175,87,347,65,63,59,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Numel,fuego/tierra,normal,normal,sombra,no,,119,79,155,41,43,42,coleccionable,bicho/electrico/fuego,no,Camerupt,Camerupt,coleccionable,164,50,,2026-03-30
Camerupt,fuego/tierra,normal,normal,"mega,sombra",no,,194,136,172,59,50,55,coleccionable,bicho/electrico/fuego,no,,,,,,,2026-03-30
Torkoal,fuego,normal,normal,regional,no,Sur de Asia,151,203,172,58,57,53,coleccionable,bicho/planta/hielo,no,,,,,,,2026-03-30
Spoink,psiquico,normal,normal,,no,,125,122,155,45,47,45,coleccionable,lucha/veneno,no,Grumpig,Grumpig,coleccionable,175,50,,2026-03-30
Grumpig,psiquico,normal,normal,,no,,171,188,190,61,58,56,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Spinda,normal,normal,normal,,no,,116,116,155,43,47,43,coleccionable,,no,,,,,,,2026-03-30
Trapinch,tierra,normal,normal,sombra,no,,162,78,128,45,40,46,coleccionable,electrico/fuego/veneno,no,Vibrava,Flygon,coleccionable,182,125,,2026-03-30
Vibrava,tierra/dragon,normal,normal,sombra,no,,134,99,137,43,43,44,coleccionable,dragon/electrico/fuego,no,Flygon,Flygon,coleccionable,182,100,,2026-03-30
Flygon,tierra/dragon,normal,normal,sombra,no,,205,168,190,66,57,59,coleccionable,dragon/electrico/fuego,no,,,,,,,2026-03-30
Cacnea,planta,normal,normal,sombra,no,,156,74,137,45,41,46,coleccionable,tierra/roca/agua,no,Cacturne,Cacturne,coleccionable,168,50,,2026-03-30
Cacturne,planta/siniestro,normal,normal,sombra,no,,221,115,172,62,48,58,coleccionable,fantasma/tierra/psiquico,no,,,,,,,2026-03-30
Swablu,normal/volador,normal,normal,,no,,76,132,128,35,45,37,coleccionable,bicho/lucha/planta,no,Altaria,Altaria,coleccionable,166,400,,2026-03-30
Altaria,dragon/volador,normal,normal,mega,no,,141,201,181,57,57,52,coleccionable,bicho/dragon/lucha,no,,,,,,,2026-03-30
Zangoose,normal,normal,normal,regional,no,Europa / Asia / Pacífico,222,124,177,64,50,59,coleccionable,,no,,,,,,,2026-03-30
Seviper,veneno,normal,normal,regional,no,América / África,196,118,177,59,49,55,coleccionable,hada/planta,no,,,,,,,2026-03-30
Lunatone,roca/psiquico,normal,normal,regional,no,América / África,178,153,207,62,56,56,coleccionable,bicho/lucha/fuego,no,,,,,,,2026-03-30
Solrock,roca/psiquico,normal,normal,regional,no,Europa / Asia / Pacífico,178,153,207,62,56,56,coleccionable,bicho/lucha/fuego,no,,,,,,,2026-03-30
Barboach,agua/tierra,normal,normal,,no,,93,82,137,35,41,38,coleccionable,electrico/fuego/tierra,no,Whiscash,Whiscash,coleccionable,170,50,,2026-03-30
Whiscash,agua/tierra,normal,normal,,no,,151,141,242,60,57,53,coleccionable,electrico/fuego/tierra,no,,,,,,,2026-03-30
Corphish,agua,normal,normal,,no,,141,99,125,43,42,44,coleccionable,fuego/tierra/roca,no,Crawdaunt,Crawdaunt,coleccionable,173,50,,2026-03-30
Crawdaunt,agua/siniestro,normal,normal,,no,,224,142,160,64,50,59,coleccionable,fuego/fantasma/tierra,no,,,,,,,2026-03-30
Baltoy,tierra/psiquico,normal,normal,,no,,77,124,120,34,44,37,coleccionable,electrico/lucha/fuego,no,Claydol,Claydol,coleccionable,166,50,,2026-03-30
Claydol,tierra/psiquico,normal,normal,,no,,140,229,155,56,58,52,coleccionable,electrico/lucha/fuego,no,,,,,,,2026-03-30
Lileep,roca/planta,normal,normal,sombra,no,,105,150,165,46,51,44,coleccionable,bicho/fuego/volador,no,Cradily,Cradily,coleccionable,173,50,,2026-03-30
Cradily,roca/planta,normal,normal,sombra,no,,152,194,200,60,59,54,coleccionable,bicho/fuego/volador,no,,,,,,,2026-03-30
Anorith,roca/bicho,normal,normal,sombra,no,,176,100,128,49,42,49,coleccionable,bicho/siniestro/fuego,no,Armaldo,Armaldo,coleccionable,188,50,,2026-03-30
Armaldo,roca/bicho,normal,normal,sombra,no,,222,174,181,68,58,62,coleccionable,bicho/siniestro/fuego,no,,,,,,,2026-03-30
Feebas,agua,normal,normal,,no,,29,85,85,19,36,27,coleccionable,fuego/tierra/roca,no,Milotic,Milotic,pvp_gl,205,100,,2026-03-30
Milotic,agua,normal,normal,,no,,192,219,216,71,72,62,pvp_gl,fuego/tierra/roca,no,,,,,,,2026-03-30
Castform,normal,normal,normal,,no,,139,139,172,51,50,48,coleccionable,,no,,,,,,,2026-03-30
Kecleon,normal,normal,normal,,no,,161,189,155,56,54,53,coleccionable,,no,,,,,,,2026-03-30
Shuppet,fantasma,normal,normal,sombra,no,,138,65,127,40,39,43,coleccionable,fantasma/psiquico,no,Banette,Banette,coleccionable,168,50,,2026-03-30
Banette,fantasma,normal,normal,"mega,sombra",no,,218,126,162,62,48,58,coleccionable,fantasma/psiquico,no,,,,,,,2026-03-30
Duskull,fantasma,normal,normal,sombra,no,,70,162,85,32,44,36,coleccionable,fantasma/psiquico,no,Dusclops,Dusknoir,coleccionable,176,125,Sinnoh Stone,2026-03-30
Dusclops,fantasma,normal,normal,sombra,no,,124,234,120,51,55,49,coleccionable,fantasma/psiquico,no,Dusknoir,Dusknoir,coleccionable,176,100,Sinnoh Stone,2026-03-30
Tropius,planta/volador,normal,normal,regional,no,África / Sur de Europa,136,163,223,57,58,52,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Chimecho,psiquico,normal,normal,,no,,175,170,181,60,54,55,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Absol,siniestro,normal,normal,"mega,sombra",no,,246,120,163,66,48,61,coleccionable,fantasma/psiquico,no,,,,,,,2026-03-30
Wynaut,psiquico,normal,bebe,bebe,sí,,41,86,216,34,50,35,coleccionable,lucha/veneno,no,Wobbuffet,Wobbuffet,coleccionable,163,25,,2026-03-30
